arquivo,aba,linha,embarcacao,numeroSerie,marca,modelo,capacidade,tipoPack,dataFabrico,armador,dataInspecao,observacao,raw
AZ25-066 MAE IEMANJA.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 4153300400019 | NAVIO: | MÃE IEMANJA |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,2022-08-01,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro | 2022-08-01 00:00:00 |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | SIMP. REDUZ. |  |  |  | 03/25 |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,68,,,,,,,,,2013-12-01,, | 2013-12-01 00:00:00 |  |  |  |  |  |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 95.5 | 94.3 | 0.012565445026178068 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  |  | DATA FABRICO: | 06/2000 |  |  |  |  |  |  |  | 
AZ25-066 MAE IEMANJA.xlsx,QUADRO,81,,,,,,,,,2025-03-30,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-03-30 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,," |  | Emengency pack: |  |  |  | SOLAS ""B"" |  | 5086310105769 |  | 03/2026 |  | "
AZ25-067 CETUS.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-067 CETUS.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,," |  | Emengency pack: |  |  |  | SOLAS ""B"" |  | 5086310105777 |  | 03/2026 |  | "
AZ25-068 CETUS.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-068 CETUS.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,," |  | Emengency pack: |  |  |  | SOLAS ""B"" |  | 5086310105803 |  | 03/2026 |  | "
AZ25-069 CETUS.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-069 CETUS.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,," |  | Emengency pack: |  |  |  | SOLAS ""B"" |  | 5086310105808 |  | 03/2026 |  | "
AZ25-070 CETUS.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-070 CETUS.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,, |  | Emengency pack: |  |  |  |  |  |  |  |  |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-03,, |  | 2025-04-03 00:00:00 |  |  |  | OREY |  |  |  | 2028-04-03 00:00:00 |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-071 HUGO SOS.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-04-04,, |  | Emengency pack: |  |  |  | MIN |  | 501733300015 |  | 2026-04-04 00:00:00 |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-03,, |  | 2025-04-03 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-04-03 00:00:00 |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 501733300015 | NAVIO: | VIVA OS AÇORES |  | MARCA/MODELO: | RFD SEASAVA PLUS |  | 8 |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | MIN |  |  |  | 04/25 |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 87.7 | 85.9 | 0.02052451539338651 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  |  | DATA FABRICO: | 08/2006 |  |  |  |  |  |  |  | 
AZ25-071 VIVA OS AÇORES.xlsx,QUADRO,81,,,,,,,,,2025-04-03,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-04-03 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,13,,,,,,,,,2028-08-01,, |  | Fabric type: |  |  |  | Length of painter: |  |  | 2028-08-01 00:00:00 | Max stowage height: |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-04-11,, |  | Emengency pack: |  |  |  | MIN |  | 5017330300017 |  | 2026-04-11 00:00:00 |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,29,,,,,,,,,2024-01-01,, |  | 2024-01-01 00:00:00 |  |  |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-11,, |  | 2025-04-11 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-04-11 00:00:00 |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,49,,,,,,,,,2025-04-01,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  | 2025-04-01 00:00:00 |  |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-072 BADEJO.xlsx,CERTIFICADO,81,,,,,,,,,2025-04-11,, |  |  |  |  | 2025-04-11 00:00:00 |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300017 | NAVIO: | BADEJO |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | MIN |  |  |  | 04/25 |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 85.8 | 84.2 | 0.01864801864801857 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  | #DIV/0! | DATA FABRICO: | 08/2006 |  |  |  |  |  |  |  | 
AZ25-072 BADEJO.xlsx,QUADRO,81,,,,,,,,,2025-04-11,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-04-11 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,,, |  | Emengency pack: |  |  |  | SOLAS B |  | 5086210100673 |  | 04/2026 |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-03,," |  | 2025-04-03 00:00:00 |  |  |  | 50937 Orey Technica, Azores |  |  |  | 2026-04-03 00:00:00 |  | "
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-073 ATLANTICO NORDESTE.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-04-05,, |  | Emengency pack: |  |  |  | COASTAL |  | XDC5FD23H818 |  | 2026-04-05 00:00:00 |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-04,, |  | 2025-04-04 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-04-04 00:00:00 |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | XDC5FD23H818 | NAVIO: | CORAÇÃO DO OCEANO |  | MARCA/MODELO: | ZODIAC COASTAL PT |  | 8 |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | COASTAL |  |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 202 | 198 | 0.01980198019801982 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,,, | Rampa |  |  | #DIV/0! | DATA FABRICO: | 08/2018 |  |  |  |  |  |  |  | 
AZ25-074 CORAÇÃO DO OCEANO.xlsx,QUADRO,81,,,,,,,,,2025-04-04,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-04-04 00:00:00 | Assinatura: |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,12,,,,,,,,,25/04/2023,, |  | RFD SURVIVA MKIV |  |  |  | 8 |  | 5085810204938 |  | 25/04/2023 |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,25,,,,,,,,,2028-02-01,,Equipamento: |  |  |  |  | 2028-02-01 00:00:00 | Tipo |  | No. Série |  | Validade |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-04-05,, |  | Emengency pack: |  |  |  | SOLAS B |  | 5085810204938 |  | 2026-04-05 00:00:00 |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,29,,,,,,,,,2028-03-01,, |  | 2028-03-01 00:00:00 |  |  |  |  |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-04,, |  | 2025-04-04 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-04-04 00:00:00 |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,79,,,,,,,,,2023-04-25,, |  |  |  |  |  | 2023-04-25 00:00:00 |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,CERTIFICADO,81,,,,,,,,,2023-10-27,, |  |  |  |  | 2023-10-27 00:00:00 |  |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5085810204938 | NAVIO: | NOSSA SENHORA DA GRAÇA |  | MARCA/MODELO: | RFD SURVIVA MKIV |  | 8 |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  | 08/2026 |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,42,,,Marcas do Invólucro,,,,,,,, | Alça da Retenida e Espelhos |  | Marcas do Invólucro |  |  | Quadro de Sinais |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,47,,,,,,Emergency Pack Type,,,,, | Cylinder CO2 |  | Emergency Pack Type |  | SOLAS B |  |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,61,,,,,,Emergency Pack,,,,, | Grabline Internal |  | Emergency Pack |  |  | Tare |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,73,,,,,,,,,,Notas                                                                 Remarks, | Câmara Superior + Arco | 98 | 95 | 0.030612244897959218 | Notas                                                                 Remarks |  |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,79,,,,,,,DATA FABRICO:,,25/04/2023,, | Rampa |  |  |  | DATA FABRICO: | 25/04/2023 |  |  |  |  |  |  |  | 
AZ25-075 NOSSA SENHORA DA GRAÇA.xlsx,QUADRO,81,,,,,,,,,2025-04-04,, | Estação de Serviço: | OREY TÉCNICA |  | Data de Insp.: | 2025-04-04 00:00:00 | Assinatura: | JULIO CORREA |  |  |  |  |  |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-04-08,, |  | Emengency pack: |  |  |  | SIMP. REDUZ. |  | 50175203S7193 |  | 2026-04-08 00:00:00 |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,47,,,,,,,,,2025-04-07,, |  | 2025-04-07 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-04-07 00:00:00 |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-076 ARESTA.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-076 ARESTA.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 50175203S7193 | NAVIO: | ARESTA |  | MARCA/MODELO: | RFD SEASAVA |  | 12 |  |  |  |  | 
AZ25-076 ARESTA.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
AZ25-076 ARESTA.xlsx,QUADRO,30,,,,,,,,,2025-03-01,, | Bateria Activada |  | Suporte de Antena |  |  | HAMMAR H20 |  |  |  | 2025-03-01 00:00:00 |  |  |  | 
